question_id,difficulty,name,correct_answer,n_rows,n_campaigns,n_days,file
SIM001,simple,Creative fatigue on G3,creative_fatigue -> refresh_creative,27000,300,90,questions/SIM001.parquet
SIM002,simple,Audience saturating on G4,audience_saturation -> fix_targeting,27000,300,90,questions/SIM002.parquet
SIM003,simple,Emerging audience worth a new campaign,emerging_segment -> launch_campaign,27000,300,90,questions/SIM003.parquet
SIM004,simple,Normal weekly fluctuation,noise -> no_action,27000,300,90,questions/SIM004.parquet
SIM005,simple,Creative fatigue on G3,creative_fatigue -> refresh_creative,27000,300,90,questions/SIM005.parquet
SIM006,simple,Audience saturating on G4,audience_saturation -> fix_targeting,27000,300,90,questions/SIM006.parquet
SIM007,simple,Emerging audience worth a new campaign,emerging_segment -> launch_campaign,27000,300,90,questions/SIM007.parquet
SIM008,simple,Normal weekly fluctuation,noise -> no_action,27000,300,90,questions/SIM008.parquet
SIM009,simple,Creative fatigue on G3,creative_fatigue -> refresh_creative,27000,300,90,questions/SIM009.parquet
SIM010,simple,Audience saturating on G4,audience_saturation -> fix_targeting,27000,300,90,questions/SIM010.parquet
SIM011,simple,Emerging audience worth a new campaign,emerging_segment -> launch_campaign,27000,300,90,questions/SIM011.parquet
SIM012,simple,Normal weekly fluctuation,noise -> no_action,27000,300,90,questions/SIM012.parquet
SIM013,simple,Creative fatigue on G3,creative_fatigue -> refresh_creative,27000,300,90,questions/SIM013.parquet
SIM014,simple,Audience saturating on G4,audience_saturation -> fix_targeting,27000,300,90,questions/SIM014.parquet
SIM015,simple,Emerging audience worth a new campaign,emerging_segment -> launch_campaign,27000,300,90,questions/SIM015.parquet
SIM016,simple,Normal weekly fluctuation,noise -> no_action,27000,300,90,questions/SIM016.parquet
SIM017,simple,Creative fatigue on G3,creative_fatigue -> refresh_creative,27000,300,90,questions/SIM017.parquet
SIM018,simple,Audience saturating on G4,audience_saturation -> fix_targeting,27000,300,90,questions/SIM018.parquet
SIM019,simple,Emerging audience worth a new campaign,emerging_segment -> launch_campaign,27000,300,90,questions/SIM019.parquet
SIM020,simple,Normal weekly fluctuation,noise -> no_action,27000,300,90,questions/SIM020.parquet
SIM021,simple,Creative fatigue on G3,creative_fatigue -> refresh_creative,27000,300,90,questions/SIM021.parquet
SIM022,simple,Audience saturating on G4,audience_saturation -> fix_targeting,27000,300,90,questions/SIM022.parquet
SIM023,simple,Emerging audience worth a new campaign,emerging_segment -> launch_campaign,27000,300,90,questions/SIM023.parquet
SIM024,simple,Normal weekly fluctuation,noise -> no_action,27000,300,90,questions/SIM024.parquet
SIM025,simple,Creative fatigue on G3,creative_fatigue -> refresh_creative,27000,300,90,questions/SIM025.parquet
SIM026,simple,Audience saturating on G4,audience_saturation -> fix_targeting,27000,300,90,questions/SIM026.parquet
SIM027,simple,Emerging audience worth a new campaign,emerging_segment -> launch_campaign,27000,300,90,questions/SIM027.parquet
SIM028,simple,Normal weekly fluctuation,noise -> no_action,27000,300,90,questions/SIM028.parquet
SIM029,simple,Creative fatigue on G3,creative_fatigue -> refresh_creative,27000,300,90,questions/SIM029.parquet
SIM030,simple,Audience saturating on G4,audience_saturation -> fix_targeting,27000,300,90,questions/SIM030.parquet
SIM031,simple,Emerging audience worth a new campaign,emerging_segment -> launch_campaign,27000,300,90,questions/SIM031.parquet
SIM032,simple,Normal weekly fluctuation,noise -> no_action,27000,300,90,questions/SIM032.parquet
SIM033,simple,Creative fatigue on G3,creative_fatigue -> refresh_creative,27000,300,90,questions/SIM033.parquet
